XBTEUR Curncy;
Date;PX_LAST
13/06/16;615,2284
14/06/16;590,8099
15/06/16;613,635
16/06/16;666,3304
17/06/16;670,0214
20/06/16;652,9459
21/06/16;606,8195
22/06/16;564,9115
23/06/16;530,2849
24/06/16;596,1614
27/06/16;584,5389
28/06/16;591,823
29/06/16;577,1489
30/06/16;610,7649
1/07/16;608,6008
4/07/16;604,585
5/07/16;608,2059
6/07/16;613,9
7/07/16;561,5249
8/07/16;604,2839
11/07/16;588,4554
12/07/16;606,1415
13/07/16;600,2444
14/07/16;600,5699
15/07/16;605,8394
18/07/16;612,0514
19/07/16;608,25
20/07/16;605,6454
21/07/16;606,7
22/07/16;598,9104
25/07/16;595,7699
26/07/16;593,494
27/07/16;596,6255
28/07/16;590,1053
29/07/16;588,7794
1/08/16;551,4464
2/08/16;528,8524
3/08/16;507,6324
4/08/16;520,2185
5/08/16;522,9963
8/08/16;540,5499
9/08/16;533,5748
10/08/16;538,683
11/08/16;531,6995
12/08/16;525,3545
15/08/16;506,4019
16/08/16;516,4399
17/08/16;507,7334
18/08/16;509,7494
19/08/16;509,9093
22/08/16;518,9349
23/08/16;516,0454
24/08/16;515,9949
25/08/16;510,875
26/08/16;515,6349
29/08/16;512,178
30/08/16;517,5175
31/08/16;514,2389
1/09/16;510,3505
2/09/16;512,7455
5/09/16;542,5494
6/09/16;542,83
7/09/16;545,7209
8/09/16;556,8799
9/09/16;554,0679
12/09/16;539,9899
13/09/16;541,9895
14/09/16;544,4799
15/09/16;541,3649
16/09/16;543,8524
19/09/16;543,9895
20/09/16;543,5425
21/09/16;534,39
22/09/16;531,0354
23/09/16;537,6785
26/09/16;540,226
27/09/16;542,709
28/09/16;541,4905
29/09/16;542,6058
30/09/16;543,1824
3/10/16;547,6449
4/10/16;546,349
5/10/16;550,6494
6/10/16;551,3004
7/10/16;556,3555
10/10/16;555,9895
11/10/16;577,4314
12/10/16;580,75
13/10/16;576,8494
14/10/16;582,1224
17/10/16;581,4094
18/10/16;581,1945
19/10/16;575,58
20/10/16;578,2534
21/10/16;582,058
24/10/16;600,6384
25/10/16;605,2794
26/10/16;616,25
27/10/16;627,1499
28/10/16;627,9464
31/10/16;643,1549
1/11/16;659,745
2/11/16;655,6384
3/11/16;641,855
4/11/16;626,4595
7/11/16;635,856
8/11/16;642,3555
9/11/16;662,8994
10/11/16;653,9099
11/11/16;660,7445
14/11/16;652,3534
15/11/16;666,8248
16/11/16;682,5485
17/11/16;694,5289
18/11/16;701,7904
21/11/16;699,0759
22/11/16;706,8655
23/11/16;701,7649
24/11/16;697,7465
25/11/16;698,8564
28/11/16;697,2914
29/11/16;693,2909
30/11/16;702,49
1/12/16;711,4399
2/12/16;729,6964
5/12/16;710,0449
6/12/16;715,6654
7/12/16;719,3394
8/12/16;727,9984
9/12/16;732,3805
12/12/16;739,449
13/12/16;737,4178
14/12/16;733,8849
15/12/16;749,7455
16/12/16;751,8599
19/12/16;763,444
20/12/16;769,4399
21/12/16;794,3094
22/12/16;829,2174
23/12/16;873,2749
26/12/16;862,0609
27/12/16;895,0685
28/12/16;925,1898
29/12/16;916,4695
30/12/16;905,9855
2/01/17;974,6838
3/01/17;978,2605
4/01/17;1076,8199
5/01/17;912,5549
6/01/17;859,5879
9/01/17;847,495
10/01/17;859,9995
11/01/17;754,3235
12/01/17;761,5015
13/01/17;786,1664
16/01/17;790,0785
17/01/17;852,7444
18/01/17;823,0809
19/01/17;852,4999
20/01/17;845,4288
23/01/17;864,8353
24/01/17;850,9429
25/01/17;836,7269
26/01/17;858,8445
27/01/17;863,09
30/01/17;859,6549
31/01/17;889,694
1/02/17;910,6499
2/02/17;930,1019
3/02/17;940,9745
6/02/17;952,7794
7/02/17;982,5
8/02/17;990,4915
9/02/17;918,8944
10/02/17;942,4559
13/02/17;942,2888
14/02/17;957,9955
15/02/17;960,4995
16/02/17;981,9884
17/02/17;997,0194
20/02/17;1001,8348
21/02/17;1055,5244
22/02/17;1068,994
23/02/17;1091,7429
24/02/17;1114,7905
27/02/17;1122,814
28/02/17;1119,2455
1/03/17;1153,5
2/03/17;1199,9995
3/03/17;1202,9845
6/03/17;1208,245
7/03/17;1181,5795
8/03/17;1126,2285
9/03/17;1132,4495
10/03/17;1087,5
13/03/17;1143,472
14/03/17;1169,7799
15/03/17;1169,5444
16/03/17;1125,6425
17/03/17;1016,4559
20/03/17;969,58
21/03/17;1023,9349
22/03/17;941,9984
23/03/17;962,5769
24/03/17;883,2999
27/03/17;939,6
28/03/17;964,8099
29/03/17;964,5255
30/03/17;958,7468
31/03/17;1001,5115
3/04/17;1068,6005
4/04/17;1056,845
5/04/17;1052,1814
6/04/17;1096,3615
7/04/17;1130,6459
10/04/17;1141,1155
11/04/17;1158,0204
12/04/17;1147,485
13/04/17;1099,8345
14/04/17;1111,3193
17/04/17;1123,6809
18/04/17;1126,9564
19/04/17;1123,8519
20/04/17;1153,0244
21/04/17;1155,1719
24/04/17;1152,1874
25/04/17;1167,697
26/04/17;1196,9399
27/04/17;1212,818
28/04/17;1186,7369
1/05/17;1267,2405
2/05/17;1321,5399
3/05/17;1339,9119
4/05/17;1446,0784
5/05/17;1372,5029
8/05/17;1469,5795
9/05/17;1582,7258
10/05/17;1636,0925
11/05/17;1716,3994
12/05/17;1560,9459
15/05/17;1589,223
16/05/17;1611,187
17/05/17;1670,007
18/05/17;1692,9285
19/05/17;1733,0215
22/05/17;1917,2019
23/05/17;1962,7415
24/05/17;2127,499
25/05/17;2194,175
26/05/17;1984,9485
29/05/17;2007,798
30/05/17;2023,1704
31/05/17;2047,1149
1/06/17;2084,7539
2/06/17;2179,5859
5/06/17;2315,2629
6/06/17;2440,2991
7/06/17;2508,573
8/06/17;2464,343
9/06/17;2545
12/06/17;2336,6355
13/06/17;2452,6094
14/06/17;2288,7976
15/06/17;2040,5699
16/06/17;2229,0601
19/06/17;2279,1951
20/06/17;2390,3301
21/06/17;2430,1775
22/06/17;2420,0469
23/06/17;2426,5601
26/06/17;2115,8301
27/06/17;2038,8959
28/06/17;2219,9526
29/06/17;2243,9199
30/06/17;2200,145
3/07/17;2260,5559
4/07/17;2258,3291
5/07/17;2279,7568
6/07/17;2282,8501
7/07/17;2209,1941
10/07/17;2113,7139
11/07/17;2072,3
12/07/17;2103,0396
13/07/17;2068,9839
14/07/17;1889,9995
17/07/17;1802,7065
18/07/17;2001,229
19/07/17;2000,929
20/07/17;2263,3701
21/07/17;2269,95
24/07/17;2384,4214
25/07/17;2206,5691
26/07/17;2138,3594
27/07/17;2213,5901
28/07/17;2358,6694
31/07/17;2408,665
1/08/17;2324,999
2/08/17;2284,165
3/08/17;2345
4/08/17;2417,9985
7/08/17;2865,6611
8/08/17;2878,4858
9/08/17;2836,334
10/08/17;2947,0991
11/08/17;3050,2395
14/08/17;3651,135
15/08/17;3479,4438
16/08/17;3693
17/08/17;3707,7939
18/08/17;3461,7119
21/08/17;3428,2334
22/08/17;3401,3726
23/08/17;3617,5176
24/08/17;3610,6392
25/08/17;3677,978
28/08/17;3629,2095
29/08/17;3778,7705
30/08/17;3836,8501
31/08/17;3987,2051
1/09/17;4108,6133
4/09/17;3587,425
5/09/17;3742,5049
6/09/17;3927,1499
7/09/17;3917,2998
8/09/17;3577,6499
11/09/17;3593,2
12/09/17;3611,6001
13/09/17;3299,1001
14/09/17;2932,3501
15/09/17;3165,95
18/09/17;3386,7002
19/09/17;3363,7
20/09/17;3353,45
21/09/17;3096,3501
22/09/17;3043,6001
25/09/17;3287,3
26/09/17;3306,5498
27/09/17;3460,45
28/09/17;3511,55
29/09/17;3522,8501
2/10/17;3736,8501
3/10/17;3635,8
4/10/17;3583,1499
5/10/17;3684,1499
6/10/17;3693,5
9/10/17;3942,6499
10/10/17;4092,3999
11/10/17;4089,1001
12/10/17;4467,8984
13/10/17;4714,5
16/10/17;4769,9492
17/10/17;4760,2988
